group,sample_name,well,valid_partitions,volume_per_well,mastermix_volume,dead_volume,colorpair,positives_ab1,lambda_ab1,positives_ab2,lambda_ab2,positives_double,couplex_positives,random_positives,rcoverlap_positives,diff_to_obs,couplexes
ABX#1,ABC,B1,25088,19.683,1,-18.683,OR,5854,0.2659700879995466,28,0.0013162357563079041,5,0.0,8.0,0.0,9.0,0.0
ABX#1,S#1,B2,25324,19.231,1,-18.231,OR,4963,0.21818037099955845,26,0.001066751054320747,1,0.0,5.0,0.0,16.0,0.0
ABX#1,S#2,B3,25355,19.306,1,-18.306,OR,4790,0.2096285086600176,17,0.0008680556100646442,5,1.0,4.0,0.0,0.0,0.0
ABX#1,ABC,C1,25344,19.494,1,-18.494,OR,4534,0.19720448748566533,28,0.0011844132617575553,2,0.0,5.0,0.0,9.0,0.0
ABX#1,S#1,C2,25353,18.915,1,-17.915,OR,4264,0.1842403293685777,25,0.001065530202037479,2,0.0,5.0,0.0,9.0,0.0
ABX#1,S#2,C3,25445,19.221,1,-18.221,OR,3156,0.132470843003345,24,0.00098299427948767,1,0.0,3.0,0.0,4.0,0.0
ABX#1,ABC,D1,25288,19.374,1,-18.374,OR,4876,0.21440299407380614,32,0.001424614407937952,4,0.0,7.0,0.0,9.0,0.0
ABX#1,S#1,D2,25447,18.714,1,-17.714,OR,2771,0.11533486185461683,25,0.0010222537652033736,1,0.0,3.0,0.0,4.0,0.0
ABX#1,S#2,D3,25263,19.172,1,-18.172,OR,5202,0.23066294387340314,35,0.0014656660509633213,2,0.0,8.0,0.0,36.0,0.0
ABX#1,ABC,E1,25372,19.423,1,-18.423,OR,4550,0.19778017247801394,27,0.0011831053949329373,3,0.0,5.0,0.0,4.0,0.0
ABX#1,S#1,E2,25432,18.807,1,-17.807,OR,2677,0.11131121877351191,27,0.0011409463222555871,2,0.0,3.0,0.0,1.0,0.0
ABX#1,S#2,E3,25350,18.944,1,-17.944,OR,4799,0.21016112770182005,22,0.0011051469391318847,6,1.0,5.0,0.0,0.0,0.0
ABX#1,ABC,F1,25363,19.45,1,-18.45,OR,4434,0.1923468027269717,24,0.0011045801746369932,4,0.0,5.0,0.0,1.0,0.0
ABX#1,S#1,F2,25325,18.902,1,-17.902,OR,3791,0.16239118665555452,28,0.001303909938378922,5,0.0,5.0,0.0,0.0,0.0
ABX#1,S#2,F3,25393,19.178,1,-18.178,OR,3362,0.1422045718892342,29,0.0013004159222305134,4,0.0,4.0,0.0,0.0,0.0
ABX#1,ABC,G1,25353,19.578,1,-18.578,OR,3777,0.16145453344198835,31,0.0013419642051815117,3,0.0,5.0,0.0,4.0,0.0
ABX#1,S#1,G2,25284,19.156,1,-18.156,OR,3804,0.16318918952789474,17,0.0007913270967652153,3,0.0,3.0,0.0,0.0,0.0
ABX#1,S#2,G3,25045,19.303,1,-18.303,OR,3794,0.16431731143915407,17,0.0007189647218144302,1,0.0,3.0,0.0,4.0,0.0
ABX#1,ABC,H1,25308,19.721,1,-18.721,OR,5291,0.23483842892521167,35,0.001621354779306472,6,0.0,9.0,0.0,9.0,0.0
ABX#1,S#1,H2,25219,19.408,1,-18.408,OR,5417,0.2419662473055073,29,0.001269690286829217,3,0.0,7.0,0.0,16.0,0.0
ABX#1,S#2,H3,25176,19.539,1,-18.539,OR,5280,0.23567406689622494,27,0.0013116319772272789,6,0.0,7.0,0.0,1.0,0.0
