sep=,
Plate name,Plate ID,Plate type,Well,Hyperwell,Reaction Mix name,Sample name,Target names,Categories,Group,Valid partitions,Volume per well [μL],Count categories,Count random,Random variation,Lambda,Lambda error,Conc. per group [cp/µl],Conc. per group error,Concentration factor,Template volume [µl],Total volume [µl],Undiluted Conc. per group [cp/µl],Undiluted Conc. per group [cp/µl] error,Conversion factor,Conversion factor unit,Conv. Undiluted Conc. per group,Conv. Undiluted Conc. per group error,% intact,% intact error
,,,D2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+-+,25307,18.564,1122,-,-,0.028118114058955535,0.0017700256505417285,39.96274086034706,2.5156408513193798,,,,-,-,,,-,-,-,-
,,,D2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+--,25307,18.564,1769,-,-,0.1179560174701359,0.0027787895878974797,167.64444973777557,3.949341978403744,,,,-,-,,,-,-,-,-
,,,D2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-++,25307,18.564,788,-,-,0.0037998367627243845,0.0016016742727317543,5.400500600502055,2.276372226446596,,,,-,-,,,-,-,-,-
,,,D2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-+-,25307,18.564,2348,-,-,0.1537259611969623,0.003182526299284067,218.48231847773397,4.5231509308506155,,,,-,-,,,-,-,-,-
,,,D2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,--+,25307,18.564,4251,-,-,0.26301732571519126,0.0040631106838585175,373.81216988093115,5.774677455447271,,,,-,-,,,-,-,-,-
,,,D2,-,U937 cells,Sample 1,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,---,25307,18.564,14130,-,-,-,-,-,-,,,,-,-,,,-,-,-,-
,,,D3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+++,25221,19.114,288,212.26845198523569,12.674933797401637,0.003007235096636418,8.490112283804206E-4,4.151035408059812,1.1719322093538251,-,-,-,-,-,-,-,-,-,0.45271462775740795,0.12725534597255017
,,,D3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,++-,25221,19.114,464,-,-,7.522635426354674E-4,0.0013931808671852838,1.0383865914457555,1.9230764884281952,,,,-,-,,,-,-,-,-
,,,D3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+-+,25221,19.114,1125,-,-,0.012080004836126812,0.001920807332248656,16.674628418770002,2.651385406196952,,,,-,-,,,-,-,-,-
,,,D3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,+--,25221,19.114,2419,-,-,0.17089286097033185,0.003484412812554203,235.8918721273012,4.8097074210751325,,,,-,-,,,-,-,-,-
,,,D3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-++,25221,19.114,858,-,-,0.0,0.0017943580302846064,0.0,2.476841177724655,,,,-,-,,,-,-,-,-
,,,D3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,-+-,25221,19.114,2416,-,-,0.17069802414555563,0.0034925296447406596,235.6229292171361,4.820911486179636,,,,-,-,,,-,-,-,-
,,,D3,-,U937 cells,Sample 2,"4EBP1T37T46-A5,60246-1-Ig,4F3-H2",GREEN-YELLOW-RED,--+,25221,19.114,4671,-,-,0.307382727722198,0.004445738193905463,424.2955890040008,6.136672413309706,,,,-,-,,,-,-,-,-
