sep=,
Plate name,Plate ID,Plate type,Well,Hyperwell,Reaction Mix name,Sample name,Target names,Categories,Group,Valid partitions,Volume per well [μL],Count categories,Count random,Random variation,Lambda,Lambda error,Conc. per group [cp/µl],Conc. per group error,Concentration factor,Template volume [µl],Total volume [µl],Undiluted Conc. per group [cp/µl],Undiluted Conc. per group [cp/µl] error,Conversion factor,Conversion factor unit,Conv. Undiluted Conc. per group,Conv. Undiluted Conc. per group error,% intact,% intact error,CXT matrix RM template name,CXT matrix RM template ID,REF
,,,D3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,+++,25207,19.114,348,219.5470026,13.29843868,0.005108954,9.08E-04,7.052142201,1.253958477,-,-,-,-,-,-,-,-,-,0.76326875,0.135203897,,,Std-Ref
,,,D3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,++-,25207,19.114,489,-,-,0.001804455,0.001449351,2.490778281,2.000610766,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,+-+,25207,19.114,1004,-,-,0.009335868,0.001872664,12.88676046,2.584930859,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,+--,25207,19.114,2258,-,-,0.161220341,0.003428948,222.5404146,4.733146325,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,-++,25207,19.114,960,-,-,0.001138075,0.001876274,1.57094188,2.589914434,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,-+-,25207,19.114,2607,-,-,0.183973042,0.003612086,253.9470935,4.985940582,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,--+,25207,19.114,4634,-,-,0.306771198,0.00450879,423.4514643,6.223706524,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,D3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,---,25207,19.114,12907,-,-,-,-,-,-,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,+++,25262,19.342,86,86,8.636198632,0,4.98E-04,0,0.679634749,-,-,-,-,-,-,-,-,-,0,0.09172581,,,Std-Ref
,,,E1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,++-,25262,19.342,341,-,-,0,0.001111768,0,1.516537827,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,+-+,25262,19.342,673,-,-,0,0.001454462,0,1.984000229,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,+--,25262,19.342,2444,-,-,0.154072783,0.003125155,210.1673202,4.262955439,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,-++,25262,19.342,623,-,-,0,0.001394037,0,1.901574868,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,-+-,25262,19.342,2255,-,-,0.142969065,0.003026842,195.0209804,4.128848759,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,--+,25262,19.342,4168,-,-,0.250041354,0.003866453,341.0759526,5.274144305,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E1,-,ABX#1,ABX#1_ABC,"Green,Yellow,Red",G-Y-R,---,25262,19.342,14672,-,-,-,-,-,-,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,+++,25252,18.618,540,302.6885222,12.37941072,0.009442167,0.001057065,13.38071445,1.497991421,-,-,-,-,-,-,-,-,-,1.511744827,0.16915957,,,Std-Ref
,,,E2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,++-,25252,18.618,543,-,-,0.010139177,0.00141199,14.36846379,2.000963611,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,+-+,25252,18.618,1129,-,-,0.026996704,0.001849021,38.25765578,2.620290596,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,+--,25252,18.618,1882,-,-,0.130309227,0.003009981,184.664231,4.265513819,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,-++,25252,18.618,923,-,-,0.006484227,0.00176222,9.188949067,2.497283533,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,-+-,25252,18.618,2560,-,-,0.173382645,0.003448442,245.7045718,4.886867514,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,--+,25252,18.618,4153,-,-,0.267833223,0.004133504,379.552678,5.857684295,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E2,-,ABX#1,ABX#1_S#1,"Green,Yellow,Red",G-Y-R,---,25252,18.618,13522,-,-,-,-,-,-,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,+++,25381,19.147,179,79.77669037,5.098801526,0.003917015,5.63E-04,5.397531336,0.775132248,-,-,-,-,-,-,-,-,-,0.987891476,0.141687706,,,Std-Ref
,,,E3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,++-,25381,19.147,286,-,-,0.004309681,8.75E-04,5.938613635,1.205743516,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,+-+,25381,19.147,480,-,-,0.007165043,0.001082144,9.873217721,1.491162368,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,+--,25381,19.147,1672,-,-,0.093428782,0.00229554,128.7420996,3.163185778,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,-++,25381,19.147,432,-,-,0.00221865,0.00103502,3.057234196,1.426226853,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,-+-,25381,19.147,1997,-,-,0.110618151,0.002484878,152.4285426,3.424089058,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,--+,25381,19.147,3262,-,-,0.174845271,0.003073977,240.931615,4.23584894,,,,-,-,,,-,-,-,-,,,Std-Ref
,,,E3,-,ABX#1,ABX#1_S#2,"Green,Yellow,Red",G-Y-R,---,25381,19.147,17073,-,-,-,-,-,-,,,,-,-,,,-,-,-,-,,,Std-Ref
